,code,detailed_work_activity
14845,47-5013.00,Install plumbing or piping.
14846,47-5013.00,Direct construction or extraction personnel.
14847,47-5013.00,Communicate with other construction or extraction personnel to discuss project details.
14848,47-5013.00,Operate pumps or compressors.
14849,47-5013.00,Drive trucks or truck-mounted equipment.
14850,47-5013.00,Measure work site dimensions.
14851,47-5013.00,Select construction equipment.
14852,47-5013.00,Apply new technologies to improve work processes.
14853,47-5013.00,Operate detonation equipment.
14854,47-5013.00,Prepare excavation or extraction sites for commissioning or decommissioning.
14855,27-1027.00,"Develop artistic or design concepts for decoration, exhibition, or commercial purposes."
14856,27-1027.00,Draw detailed or technical illustrations.
14857,27-1027.00,Determine technical requirements of productions or projects.
14858,27-1027.00,Study scripts to determine project requirements.
14859,27-1027.00,Present work to clients for approval.
14860,27-1027.00,Discuss production content and progress with others.
14861,27-1027.00,Confer with clients to determine needs.
14862,27-1027.00,"Conduct research to inform art, designs, or other work."
14863,27-1027.00,Inspect sets or exhibits.
14864,27-1027.00,Collaborate with others to determine technical details of productions.
14865,27-1027.00,Select materials or props.
14866,27-1027.00,"Build models, patterns, or templates."
14867,27-1027.00,"Design layout of art or product exhibits, displays, or promotional materials."
14868,27-1027.00,Coordinate design activities.
14869,27-1027.00,Coordinate construction or installation activities.
14870,27-1027.00,Estimate costs for projects or productions.
14871,27-1027.00,Coordinate logistics for productions or events.
14872,27-1027.00,"Maintain inventories of materials, equipment, or products."
14873,27-1027.00,"Construct distinctive physical objects for artistic, functional, or commercial purposes."
14874,27-1027.00,"Promote products, activities, or organizations."
14875,51-6051.00,Sew clothing or other articles.
14876,51-6051.00,Trim excess material from workpieces.
14877,51-6051.00,Select production input materials.
14878,51-6051.00,Adjust fabrics or other materials during garment production.
14879,51-6051.00,Cut industrial materials in preparation for fabrication or processing.
14880,51-6051.00,Design templates or patterns.
14881,51-6051.00,Smooth surfaces of objects or equipment.
14882,51-6051.00,Align parts or workpieces to ensure proper assembly.
14883,51-6051.00,Measure dimensions of completed products or workpieces to verify conformance to specifications.
14884,51-6051.00,Prepare fabrics or materials for processing or production.
14885,51-6051.00,Assemble garments or textile products.
14886,51-6051.00,Attach decorative or functional accessories to products.
14887,51-6031.00,Watch operating equipment to detect malfunctions.
14888,51-6031.00,Cut fabrics.
14889,51-6031.00,Mount materials or workpieces onto production equipment.
14890,51-6031.00,Feed materials or products into or through equipment.
14891,51-6031.00,Load materials into production equipment.
14892,51-6031.00,Maneuver workpieces in equipment during production.
14893,51-6031.00,Adjust fabrics or other materials during garment production.
14894,51-6031.00,Compare physical characteristics of materials or products to specifications or standards.
14895,51-6031.00,"Remove accessories, tools, or other parts from equipment."
14896,51-6031.00,Remove products or workpieces from production equipment.
14897,51-6031.00,Select production input materials.
14898,51-6031.00,Trim excess material from workpieces.
14899,51-6031.00,Measure dimensions of completed products or workpieces to verify conformance to specifications.
14900,51-6031.00,Operate sewing equipment.
14901,51-6031.00,"Inspect garments for defects, damage, or stains."
14902,51-6031.00,"Mark products, workpieces, or equipment with identifying information."
14903,51-6031.00,Attach decorative or functional accessories to products.
14904,51-6031.00,Record operational or production data.
14905,51-6031.00,Repair textiles or apparel.
14906,51-6031.00,Clean production equipment.
14907,51-6031.00,Maintain production or processing equipment.
14908,51-6031.00,Replace worn equipment components.
14909,51-6031.00,Draw guide lines or markings on materials or workpieces using patterns or other references.
14910,51-6031.00,Align parts or workpieces to ensure proper assembly.
14911,51-6031.00,Mount attachments or tools onto production equipment.
14912,51-6031.00,"Position patterns on equipment, materials, or workpieces."
14913,47-2211.00,Create construction or installation diagrams.
14914,47-2211.00,Review blueprints or specifications to determine work requirements.
14915,47-2211.00,Mark reference points on construction materials.
14916,47-2211.00,Measure materials or objects for installation or assembly.
14917,47-2211.00,Assemble products or production equipment.
14918,47-2211.00,Weld metal components.
14919,47-2211.00,"Plan layout of construction, installation, or repairs."
14920,47-2211.00,Smooth surfaces with abrasive materials or tools.
14921,47-2211.00,Fabricate parts or components.
14922,47-2211.00,Select construction materials.
14923,47-2211.00,Position structural components.
14924,47-2211.00,Inspect completed work to ensure proper installation.
14925,47-2211.00,Move construction or extraction materials to locations where they are needed.
14926,47-2211.00,Evaluate construction projects to determine compliance with external standards or regulations.
14927,47-2211.00,Install building fixtures.
14928,47-2211.00,Install plumbing or piping.
14929,47-2211.00,Direct construction or extraction personnel.
14930,47-2211.00,Train construction or extraction personnel.
14931,47-2211.00,Maintain construction tools or equipment.
14932,47-2211.00,Install roofing materials.
14933,47-2211.00,Inspect industrial or commercial equipment to ensure proper operation.
14934,47-2211.00,"Install green structural components, equipment or systems."
14935,53-5031.00,Operate ships or other watercraft.
14936,53-5031.00,Maintain watercraft engines or machinery.
14937,53-5031.00,Monitor engine operation or functioning.
14938,53-5031.00,Direct emergency management activities.
14939,53-5031.00,Report vehicle or equipment malfunctions.
14940,53-5031.00,Record operational or production data.
14941,53-5031.00,Monitor availability of equipment or supplies.
14942,53-5031.00,"Install parts, assemblies, or attachments in transportation or material handling equipment."
14943,53-5031.00,Record operational details of travel.
14944,53-5031.00,Clean facilities or work areas.
14945,53-5031.00,Clean machinery or equipment.
14946,53-5031.00,Control pumps or pumping equipment.
14947,53-5031.00,Direct maintenance or repair activities.
14948,53-5031.00,Acquire supplies or equipment.
14949,53-5031.00,Fabricate products or components using machine tools.
14950,53-5031.00,Communicate with others to coordinate vehicle movement.
14951,43-5071.00,Inspect shipments to ensure correct order fulfillment.
14952,43-5071.00,"Order materials, supplies, or equipment."
14953,43-5071.00,"Prepare documentation for contracts, transactions, or regulatory compliance."
14954,43-5071.00,Store items.
14955,43-5071.00,Package objects for shipping.
14956,43-5071.00,Record shipping information.
14957,43-5071.00,Respond to customer problems or complaints.
14958,43-5071.00,Deliver items.
14959,43-5071.00,Analyze shipping information to make routing decisions.
14960,43-5071.00,Coordinate shipping activities with external parties.
14961,43-5071.00,Calculate shipping costs.
14962,51-6041.00,"Estimate costs of products, services, or materials."
14963,51-6041.00,Trim excess material from workpieces.
14964,51-6041.00,Assemble garments or textile products.
14965,51-6041.00,Cut fabrics.
14966,51-6041.00,Attach decorative or functional accessories to products.
14967,51-6041.00,Adjust fabrics or other materials during garment production.
14968,51-6041.00,Repair textiles or apparel.
14969,51-6041.00,Operate sewing equipment.
14970,51-6041.00,Construct customized assistive medical or dental devices.
14971,51-6041.00,Sew clothing or other articles.
14972,51-6041.00,Align parts or workpieces to ensure proper assembly.
14973,51-6041.00,Mount materials or workpieces onto production equipment.
14974,51-6041.00,Prepare fabrics or materials for processing or production.
14975,51-6041.00,Apply water or solutions to fabrics or apparel.
14976,51-6041.00,Evaluate quality of materials or products.
14977,51-6041.00,"Polish materials, workpieces, or finished products."
14978,51-6041.00,Measure clients to ensure proper product fit.
14979,51-6041.00,"Inspect garments for defects, damage, or stains."
14980,51-6041.00,Read work orders or other instructions to determine product specifications or materials requirements.
