,Unnamed: 0,title,company,location,description,date_posted,link
881,881,Materials Sciences Division Director,Lawrence Berkeley National Laboratory,United States,increasingly contributes to innovation in next-generation microelectronics and the emerging revolution in materials for quantum information. The Materials Sciences Division Director is responsible for providing,7 days ago,https://scholarshipdb.net/jobs-in-United-States/Materials-Sciences-Division-Director-Lawrence-Berkeley-National-Laboratory=JSVq9pNg7RGUYQAlkGUTnw.html
885,885,PhD candidates - Advanced Multifunctional Materials Science (# of pos: 3),National Centre for Nuclear Research,Poland,", chemical Engineering, materials Science, or a related field, eperience with electronic structure calculations using packages such VASP, Quantum Espresso, or similar codes, experience with molecular dynamics",16 days ago,https://scholarshipdb.net/scholarships-in-Poland/Ph-D-Candidates-Advanced-Multifunctional-Materials-Science-Of-Pos-3-National-Centre-For-Nuclear-Research=8GVkf1hZ7RGUYQAlkGUTnw.html
886,886,Doctoral Candidate (PhD student) in Waveform Design for 6G Integrated Terrestrial/Non-Terrestrial...,University of Luxembourg,Luxembourg,"new services in a cost-efficient manner. Use cases of interest include IoT verticals, unmanned aerial vehicles, integrated satellite-space-terrestrial networks, quantum communications and key",7 days ago,https://scholarshipdb.net/scholarships-in-Luxembourg/Doctoral-Candidate-Ph-D-Student-In-Waveform-Design-For-6-G-Integrated-Terrestrial-Non-Terrestrial-University-Of-Luxembourg=bKLnKGhh7RGUYQAlkGUTnw.html
887,887,Didactic Trainer,Delft University of Technology,Netherlands,"quantum mechanics, architecture, or aerospace engineering; the participants in your training courses all belong to the (international) top of their field, and you will guide these smart professionals",4 days ago,https://scholarshipdb.net/jobs-in-Netherlands/Didactic-Trainer-Delft-University-Of-Technology=p6B1W2pe7RGUYQAlkGUTnw.html
888,888,Administrative/Financial Coordinator,University of Oklahoma,United States,"administrative and financial support in the Center for Quantum Research and Technology (CQRT) faculty, staff and students. Essential Responsibilities: Coordinates, creates and manages all center account budgets","Oklahoma City, Oklahoma",https://scholarshipdb.net/jobs-in-United-States/Administrative-Financial-Coordinator-University-Of-Oklahoma=5bBdLSFP7RGUYQAlkGUTnw.html
889,889,"Dean, Faculty of Science, University of Waterloo",Canadian Society for Molecular Biosciences CSMB,Canada,"such diverse areas as nanotechnology, quantum computing, water resources, and cancer growth, and through participating in numerous Faculty and University research institutes and centres. The Faculty supports",about 13 hours ago,https://scholarshipdb.net/scholarships-in-Canada/Dean-Faculty-Of-Science-University-Of-Waterloo-Canadian-Society-For-Molecular-Biosciences-Csmb=kVaIcGdW7RGUYQAlkGUTnw.html
890,890,"Lecturer / Senior Lecturer in Structural Design (Learning, Teaching & Scholarship Track)",University of Glasgow,United Kingdom,"in Healthcare technologies, Quantum and Nanotechnologies, Net Zero and Connecting People. It operates the James Watt Nanofabrication Centre, a £50M research asset; major capabilities for the UK",about 11 hours ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Lecturer-Senior-Lecturer-In-Structural-Design-Learning-Teaching-Scholarship-Track-University-Of-Glasgow=EDddg81j7RGUYQAlkGUTnw.html
891,891,Assistant or Associate Professor Unconventional Electronics & Computing Systems,Delft University of Technology (TU Delft),Netherlands,". The Department of Quantum & Computer Engineering (QCE) has various openings for assistant and associate professors. You may choose your field of research from our wide range of roadmap topics, based on your vision","Glasgow, Scotland",https://scholarshipdb.net/jobs-in-Netherlands/Assistant-Or-Associate-Professor-Unconventional-Electronics-Computing-Systems-Delft-University-Of-Technology-Tu-Delft=-9mzeclP7RGUYQAlkGUTnw.html
892,892,Data Scientist - ACL,Georgia Institute of Technology,United States,"with an advanced degree; may perform physics-based modeling, applied quantum algorithms, and artificial intelligence (AI). Key Responsibilities Customize complex models and algorithms using state",about 9 hours ago,https://scholarshipdb.net/jobs-in-United-States/Data-Scientist-Acl-Georgia-Institute-Of-Technology=aV6OZXdW7RGUYQAlkGUTnw.html
893,893,"Program Head, Physicist Staff Scientist or Physicist Senior Scientist",Lawrence Berkeley National Laboratory,United States,"sophisticated. This includes world class programs in feedback and machine learning controls across areas including accelerators, Low Level RF, laser combining, and quantum information science; advanced RF",28 days ago,https://scholarshipdb.net/jobs-in-United-States/Program-Head-Physicist-Staff-Scientist-Or-Physicist-Senior-Scientist-Lawrence-Berkeley-National-Laboratory=2tLeu5ZU7RGUYQAlkGUTnw.html
894,894,M-22109 PhD STUDENT - ION MANIPULATION WITH LASER LIGHT FIELDS,Luxembourg Institute of Science and Technology,Suriname,". These ground-breaking studies will form the basis for various diagnostics and ion manipulation experiments, leading the pathway towards e.g. single ion manipulation and hence quantum computing experiments","Atlanta, Georgia",https://scholarshipdb.net/scholarships-in-Suriname/M-22109-Ph-D-Student-Ion-Manipulation-With-Laser-Light-Fields-Luxembourg-Institute-Of-Science-And-Technology=wajNYcVT7RGUYQAlkGUTnw.html
899,899,Faculty -Tenure Track - Physics,Utah Valley University,United States,", electrodynamics, optics, quantum physics, nuclear physics, particle physics, computational physics, etc. • Knowledge specific to a particular research discipline in physics sufficient to mentor undergraduate","Orem, Utah",https://scholarshipdb.net/jobs-in-United-States/Faculty-Tenure-Track-Physics-Utah-Valley-University=7cy2p19U7RGUYQAlkGUTnw.html
900,900,Faculty -Tenure Track - Physics,Utah Valley University,United States,", electrodynamics, optics, quantum physics, nuclear physics, particle physics, computational physics, etc. • Knowledge specific to a particular research discipline in physics sufficient to mentor undergraduate",22 days ago,https://scholarshipdb.net/jobs-in-United-States/Faculty-Tenure-Track-Physics-Utah-Valley-University=wCU_xNBW7RGUYQAlkGUTnw.html
901,901,Research Associate (Postdoc) in Optimization Performance of…,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg",Luxembourg,"/precoding * Radio resource management, e.g. power/bandwidth assignment, scheduling * Radio access technologies * Interference Management, Detection and/or Classification * Quantum Computing * Experience with","Orem, Utah",https://scholarshipdb.net/jobs-in-Luxembourg/Research-Associate-Postdoc-In-Optimization-Performance-Of-Interdisciplinary-Centre-For-Security-Reliability-And-Trust-Sn-T-University-Of-Luxembourg=OY3MO8Vc7RGUYQAlkGUTnw.html
902,902,Research Associate (Postdoc) in RIS (Reflective Intelligent Surfaces)…,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg",Luxembourg,"of interest include IoT verticals, unmanned aerial vehicles, integrated satellite-space-terrestrial networks, quantum communications and key distribution, spectrum management and coexistence, tactile Internet",about 8 hours ago,https://scholarshipdb.net/jobs-in-Luxembourg/Research-Associate-Postdoc-In-Ris-Reflective-Intelligent-Surfaces-Interdisciplinary-Centre-For-Security-Reliability-And-Trust-Sn-T-University-Of-Luxembourg=FiwqtcJc7RGUYQAlkGUTnw.html
903,903,Research Associate (Postdoc) in Distributed Artificial Intelligence…,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg",Luxembourg,", integrated satellite-space-terrestrial networks, quantum communications and key distribution, spectrum management and coexistence, tactile Internet, and autonomous transportation. As far as technical enablers",9 days ago,https://scholarshipdb.net/jobs-in-Luxembourg/Research-Associate-Postdoc-In-Distributed-Artificial-Intelligence-Interdisciplinary-Centre-For-Security-Reliability-And-Trust-Sn-T-University-Of-Luxembourg=tiIT1b9c7RGUYQAlkGUTnw.html
904,904,ECE Financial Manager,University of Michigan,United States,"photovoltaics, quantum computing, ultrafast lasers, optoelectronics, plasma science and engineering, terahertz science and technology, MEMS, big data, cyber-physical systems, wireless sensor networks, computer",8 days ago,https://scholarshipdb.net/jobs-in-United-States/Ece-Financial-Manager-University-Of-Michigan=tLSi7S5d7RGUYQAlkGUTnw.html
905,905,"Assistant Professor, Dept. of Physics - Astronomy or Astrophysics",Bridgewater State University,United States,"of gravitational lensing, single molecule biophysics, quantum optics, atomic physics, physics education, photonics, and optical engineering. About the University Bridgewater State University was awarded a 5-year",7 days ago,https://scholarshipdb.net/jobs-in-United-States/Assistant-Professor-Dept-Of-Physics-Astronomy-Or-Astrophysics-Bridgewater-State-University=oM5HVTli7RGUYQAlkGUTnw.html
906,906,John Nesbit Fellow in Pure Mathematics,The University of Queensland,Australia,"Pure Mathematics, Applied Mathematics, Statistics, Astronomical and Space Sciences, Condensed Matter Physics, Quantum Physics and Optical Physics, and also received a rating of 4 (above world standard","Ann Arbor, Michigan",https://scholarshipdb.net/jobs-in-Australia/John-Nesbit-Fellow-In-Pure-Mathematics-The-University-Of-Queensland=8lLr3v1Q7RGUYQAlkGUTnw.html
907,907,PhD student Molecular and Cellular Neurobiology,Delft University of Technology (TU Delft),Netherlands,"enabling technologies, such as quantum- and nanotechnology, photonics, biotechnology, synthetic biology and materials for energy storage and conversion, our faculty aims to provide solutions to important",7 days ago,https://scholarshipdb.net/scholarships-in-Netherlands/Ph-D-Student-Molecular-And-Cellular-Neurobiology-Delft-University-Of-Technology-Tu-Delft=wCP8Ubpa7RGUYQAlkGUTnw.html
908,908,Senior Information Science Professional- Pediatric Endocrinology Research,University of Colorado,United States,"problems. Experiments may include text interpretation, coding, ground theory methodology for the analysis of certain data, and quantum state analyses. Senior Information Science Professionals may also","Bridgewater, Massachusetts",https://scholarshipdb.net/jobs-in-United-States/Senior-Information-Science-Professional-Pediatric-Endocrinology-Research-University-Of-Colorado=kZGjFoVZ7RGUYQAlkGUTnw.html
915,915,Research Associate (Postdoc) in Distributed Artificial Intelligence for 6G Networks,University of Luxembourg,Luxembourg,"of supporting new services in a cost-efficient manner. Use cases of interest include IoT verticals, unmanned aerial vehicles, integrated satellite-space-terrestrial networks, quantum communications and key",14 days ago,https://scholarshipdb.net/jobs-in-Luxembourg/Research-Associate-Postdoc-In-Distributed-Artificial-Intelligence-For-6-G-Networks-University-Of-Luxembourg=Aprv4Dla7RGUYQAlkGUTnw.html
916,916,NOTICE FOR THE OPENING OF AN INTERNATIONAL SELECTION TENDER PROCEDURE FOR THE HIRING OF DOCTORATE...,University of Minho,Portugal,"the field of modelling selfassembly of metal organic frameworks; c) experience in the use of software for molecular dynamics and quantum chemistry, programming languages C/C++/Python and libraries for Machine",9 days ago,https://scholarshipdb.net/jobs-in-Portugal/Notice-For-The-Opening-Of-An-International-Selection-Tender-Procedure-For-The-Hiring-Of-Doctorate-University-Of-Minho=A6X_J6Vf7RGUYQAlkGUTnw.html
917,917,PhD position on electrically-driven water removal from biomass (experiments and simulations),Delft University of Technology (TU Delft),Netherlands,"technologies, such as quantum- and nanotechnology, photonics, biotechnology, synthetic biology and materials for energy storage and conversion, our faculty aims to provide solutions to important problems",20 days ago,https://scholarshipdb.net/scholarships-in-Netherlands/Ph-D-Position-On-Electrically-Driven-Water-Removal-From-Biomass-Experiments-And-Simulations-Delft-University-Of-Technology-Tu-Delft=OZDcyDdW7RGUYQAlkGUTnw.html
918,918,Open Rank Director,University of Maryland,United States,"the Maryland Energy Innovation Institute (MEII), the Robert E. Fischell Institute for Biomedical Devices (REFBDI), and the Quantum Technology Center (QTC). The innovation and entrepreneurship programs on campus","College Park, Maryland",https://scholarshipdb.net/jobs-in-United-States/Open-Rank-Director-University-Of-Maryland=JUNP9mxW7RGUYQAlkGUTnw.html
919,919,"Assistant/Associate Professor, Thermo-Fluids",University of Maryland,United States,"(MTI), the Robert E. Fischell Institute for Biomedical Devices (REFBDI), and the Quantum Technology Center (QTC). The innovation and entrepreneurship programs on campus recently brought the University",14 days ago,https://scholarshipdb.net/jobs-in-United-States/Assistant-Associate-Professor-Thermo-Fluids-University-Of-Maryland=1SQu6WxW7RGUYQAlkGUTnw.html
